opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v,yaw,vx,vy,omega,acc,steer,dt
-4.465937462504092,8.735959798114104,0.16457742038323558,0.24367149402422894,-4.53529,8.92112,-4.59302,9.07524,-4.44982,8.69293,0.9934516502268887,1.3655883943074358,4.449497897389297,1.3655883943074358,-1.4438502825100163,2.763715441882573,2.230138321019318,-0.001960796772275494,0.012304477768929654
-4.487459514533606,8.724351111498809,0.1511038053789518,0.24107592994739113,-4.5656,8.90903,-4.62448,9.04819,-4.47166,8.68701,1.092956911663955,1.3439748233400004,4.48350397260356,1.3439748233400004,-1.446467994165752,2.761073899909998,7.352993144517047,-0.2850403620072653,0.010915824092179838
-4.506165753634054,8.713645610447477,0.1453093751276915,0.2413681082910498,-4.59473,8.89597,-4.65821,9.02668,-4.48927,8.67886,1.4832732374423738,1.38532185951643,4.51364336960047,1.38532185951643,-1.4523676291745964,2.695772259028672,3.373180219737679,-0.07561918564113249,0.01830104203870373
-4.537228029045417,8.694039765227732,0.13366666375727396,0.24711017563022414,-4.63695,8.87438,-4.70164,8.99135,-4.51737,8.65813,1.1905796931920378,1.3778240712380532,4.562978811039686,1.3778240712380532,-1.458502406938391,2.6672974229531228,3.292703991199252,-0.019550803517162808,0.018964496478511464
-4.568469176507913,8.672318426969056,0.12783240004005403,0.2583307682023178,-4.68073,8.84841,-4.74945,8.9562,-4.54186,8.63058,1.1978980873507714,1.3671745151745294,4.613562763624415,1.3671745151745294,-1.4617583781924761,2.6577580258708773,3.818967006275557,-0.026823832990002256,0.01902329611027894
-4.5987070638045155,8.649180799159774,0.1258154497667119,0.2679901957161854,-4.72315,8.81942,-4.7974,8.92099,-4.565,8.60307,1.3109673029630842,1.3668612210135898,4.6641220815400235,1.3668612210135898,-1.4638482971771405,2.645710405210344,3.8723980406038976,-0.0049169453014837475,0.018868009070123787
-4.627539117670025,8.624753494244331,0.1275926682846626,0.27393506986145494,-4.76369,8.78777,-4.84548,8.8857,-4.58809,8.57752,1.2670287506055953,1.3670257117213223,4.714041369462428,1.3670257117213223,-1.4649910438981961,2.6412485066589317,3.4019244768838757,0.03686579536273166,0.0202027855591883
-4.657090341960315,8.59708689906821,0.12365555466698516,0.27708284844067965,-4.80416,8.75176,-4.88937,8.84137,-4.61323,8.55096,1.1990228089743122,1.356139037354303,4.76740194665098,1.356139037354303,-1.4649528705215131,2.651020894510489,3.5294465181369112,0.0378111090264686,0.020983051500629225
-4.68621836437372,8.566983812133701,0.11876741514405337,0.27699377971355305,-4.8433,8.71207,-4.93055,8.79265,-4.63982,8.52413,1.2358503118612938,1.3471568163181327,4.823028454609736,1.3471568163181327,-1.4639008032904044,2.6614295353007624,3.2202078819716498,0.0380212696660611,0.021786457845988007
-4.714675949881119,8.534292036786878,0.11763957199854119,0.2728295007875791,-4.8798,8.66987,-4.97072,8.74452,-4.66894,8.49674,1.3682131817052474,1.3308021249074293,4.881011576990642,1.3308021249074293,-1.462041153496291,2.672233496198828,2.34748624858325,0.03714537635978513,0.016913647376877342
-4.7352761539588135,8.507952520118774,0.11995172570663498,0.27155700856357995,-4.90718,8.63427,-5.00384,8.7053,-4.68835,8.47347,1.1420620761469724,1.3031762549136923,4.926208792054026,1.3031762549136923,-1.459375519997955,2.680290351068676,2.236980632081683,-0.12498623631479575,0.014836460078760312
-4.752332376510529,8.4844638698523,0.12580877950286284,0.27448784599686665,-4.92934,8.60245,-5.03403,8.67222,-4.70094,8.45021,1.098679668617075,1.2816719481409746,4.965974812847141,1.2816719481409746,-1.4584968307498174,2.6425281998530483,4.526796397517064,-0.43191752948918005,0.014868222070260497
-4.768543363425779,8.460576796073704,0.1280558944367652,0.280701949049165,-4.94945,8.57084,-5.0588,8.63748,-4.70976,8.42475,1.6103587705720366,1.3004379332909786,5.00526450894947,1.3004379332909786,-1.4633321544605353,2.5026142133766447,2.990864737694951,-0.4337033229187463,0.013710722677355172
-4.782604739950653,8.437713676105549,0.13472433818727803,0.28955044223761733,-4.96742,8.53998,-5.0853,8.60521,-4.71407,8.39979,1.086601275857888,1.2990660342019342,5.0395771583974875,1.2990660342019342,-1.4671934145222876,2.374241764633618,1.9764008857094326,-0.43482163025693293,0.016809019750839573
-4.798940795225402,8.409110115157853,0.14527318265942962,0.3031086427339217,-4.98672,8.5035,-5.11652,8.56874,-4.7159,8.36737,1.031192815044378,1.2832445241567911,5.079485835112482,1.2832445241567911,-1.4695735493369133,2.2172068089912136,5.5981732211922175,-0.43508109122861727,0.015948701545641774
-4.813471575601395,8.381595627881302,0.15344599473430384,0.3192457926112737,-5.00408,8.46705,-5.1441,8.52982,-4.71277,8.33645,1.6001229140042945,1.3295940227307164,5.114847404774038,1.3295940227307164,-1.4680408612639377,2.068649620549527,3.878741925029096,-0.435349918366264,0.018046611714270626
-4.8284496902112055,8.349141231607726,0.160667354804889,0.33691116885612543,-5.02191,8.425,-5.17149,8.48365,-4.70825,8.30201,1.1481232300092599,1.354304042425347,5.1521795212489705,1.354304042425347,-1.4676475214494684,1.9030394885813697,2.7890746506735122,-0.43558248320093357,0.022776919776753154
-4.845564098528943,8.306997541330869,0.17379013464520995,0.35602360820597256,-5.04102,8.37283,-5.20572,8.4283,-4.70362,8.25919,1.0773170086963582,1.3656539260664327,5.19552489901238,1.3656539260664327,-1.4657134228575852,1.696330612118843,5.558469547238955,-0.4356261388838152,0.02192325567106121
-4.86011073572629,8.265557017691245,0.1893091019998768,0.3720453964236087,-5.05705,8.32065,-5.23936,8.37165,-4.69876,8.22042,1.5279990955639005,1.443566087367792,5.232713988724501,1.443566087367792,-1.4601120415536948,1.4995551839624326,4.256460532283852,-0.4356421932456171,0.021195508677515382
-4.871751117044901,8.223623111020007,0.200213988022815,0.38520700837341987,-5.07021,8.26848,-5.2655,8.31261,-4.69448,8.18356,1.169133026188367,1.4964410062895415,5.264497823638589,1.4964410062895415,-1.4563889325546568,1.313275096490537,4.1555575918911805,-0.43565750349554594,0.020971779607897197
-4.881296212141178,8.18088361197448,0.2139845978102164,0.39581872669190343,-5.08082,8.21548,-5.29166,8.25203,-4.69082,8.14786,1.0305380853829258,1.5516816125787622,5.2920395395267255,1.5516816125787622,-1.4518218672548358,1.1317832185830219,7.995657922314355,-0.4356901710926545,0.022508087223633136
-4.889506434277219,8.13376451792657,0.23179285515304388,0.4043118841933789,-5.08931,8.15833,-5.31937,8.18662,-4.68802,8.10899,1.547361072835874,1.7026793256453014,5.317513814928829,1.7026793256453014,-1.4456060966424904,0.9398420340915039,6.975181750850436,-0.4356602488378421,0.021232768064561237
-4.894184377255894,8.086570640488707,0.24358393543088994,0.40988326191734187,-5.09488,8.10119,-5.33782,8.11889,-4.68608,8.07141,1.178586394595554,1.8280886855347198,5.337469262856018,1.8280886855347198,-1.4424221246085696,0.763138606606477,6.930231294099845,-0.4356242998994687,0.020336764185938574
