# x_m,y_m,w_tr_right,w_tr_left
4.420833333333336,16.212500000000002,0.5599169085180791,0.5599169085180791
4.4250000000000025,16.215000000000003,0.5586591089385365,0.5586591089385365
4.429166666666669,16.2175,0.5574408289475906,0.5574408289475906
4.433333333333335,16.220000000000002,0.5562623282029592,0.5562623282029592
4.437500000000002,16.222500000000004,0.55512386005287,0.55512386005287
4.441666666666668,16.225,0.5540256712864884,0.5540256712864884
4.4458333333333355,16.227500000000003,0.5529680018871889,0.5529680018871889
4.450000000000002,16.230000000000004,0.551951084789222,0.551951084789222
4.454166666666669,16.2325,0.5509751456382669,0.5509751456382669
4.458333333333336,16.235000000000003,0.5500404025564339,0.5500404025564339
4.462500000000002,16.237500000000004,0.549147065912219,0.549147065912219
4.466666666666669,16.240000000000002,0.548295338095972,0.548295338095972
4.470833333333335,16.242500000000003,0.547485413301375,0.547485413301375
4.475000000000002,16.245000000000005,0.546717477313465,0.546717477313465
4.479166666666669,16.247500000000002,0.5459917073037313,0.5459917073037313
4.483333333333336,16.25,0.5453082716327613,0.5453082716327613
4.4875000000000025,16.252500000000005,0.5446673296609588,0.5446673296609588
4.491666666666669,16.255000000000003,0.5440690315677874,0.5440690315677874
4.495833333333335,16.2575,0.5435135181800387,0.5435135181800387
4.500000000000002,16.26,0.5430009208095306,0.5430009208095306
4.504166666666668,16.262500000000003,0.5425313611006991,0.5425313611006991
4.5083333333333355,16.265,0.5421049508884572,0.5421049508884572
4.512500000000002,16.267500000000002,0.5417217920667384,0.5417217920667384
4.516666666666669,16.270000000000003,0.541381976468041,0.541381976468041
4.520833333333336,16.2725,0.5410855857543336,0.5410855857543336
4.525000000000002,16.275000000000002,0.5408326913195972,0.5408326913195972
4.5284090909090935,16.278409090909093,0.5399078778170631,0.5399078778170631
4.531818181818184,16.281818181818185,0.5390246011650635,0.5390246011650635
4.535227272727274,16.285227272727276,0.5381830658769309,0.5381830658769309
4.538636363636366,16.288636363636364,0.5373834680519456,0.5373834680519456
4.542045454545456,16.292045454545455,0.5366259951564821,0.5366259951564821
4.545454545454547,16.295454545454547,0.535910825812597,0.535910825812597
4.548863636363638,16.298863636363638,0.5352381295945755,0.5352381295945755
4.5522727272727295,16.30227272727273,0.5346080668339808,0.5346080668339808
4.555681818181819,16.305681818181817,0.5340207884336883,0.5340207884336883
4.55909090909091,16.309090909090912,0.533476435691414,0.533476435691414
4.562500000000002,16.3125,0.5329751401331952,0.5329751401331952
4.565909090909092,16.31590909090909,0.5325170233572714,0.5325170233572714
4.569318181818183,16.319318181818183,0.5321021968887963,0.5321021968887963
4.572727272727274,16.322727272727274,0.5317307620457785,0.5317307620457785
4.576136363636365,16.326136363636365,0.5314028098166128,0.5314028098166128
4.579545454545455,16.329545454545453,0.5311184207495567,0.5311184207495567
4.582954545454546,16.332954545454545,0.5308776648544575,0.5308776648544575
4.586363636363638,16.336363636363636,0.5306806015170005,0.5306806015170005
4.589772727272728,16.339772727272727,0.5305272794257383,0.5305272794257383
4.593181818181819,16.34318181818182,0.5304177365120919,0.5304177365120919
4.59659090909091,16.34659090909091,0.5303519999035092,0.5303519999035092
4.6000000000000005,16.35,0.53033008588991,0.53033008588991
4.606666666666667,16.356666666666666,0.5303300858899106,0.5303300858899106
4.613333333333333,16.363333333333333,0.5303300858899097,0.5303300858899097
4.620000000000001,16.369999999999997,0.5303300858899104,0.5303300858899104
4.626666666666667,16.376666666666665,0.53033008588991,0.53033008588991
4.633333333333333,16.383333333333333,0.5303300858899116,0.5303300858899116
4.640000000000001,16.39,0.5303300858899104,0.5303300858899104
4.6466666666666665,16.39666666666667,0.5303300858899104,0.5303300858899104
4.653333333333333,16.403333333333332,0.5303300858899119,0.5303300858899119
4.66,16.41,0.5303300858899119,0.5303300858899119
4.666666666666667,16.416666666666664,0.5303300858899107,0.5303300858899107
4.673333333333334,16.423333333333332,0.5303300858899123,0.5303300858899123
4.68,16.43,0.5303300858899119,0.5303300858899119
4.6866666666666665,16.436666666666667,0.5303300858899119,0.5303300858899119
4.693333333333333,16.44333333333333,0.5303300858899123,0.5303300858899123
4.699999999999999,16.45,0.5303300858899123,0.5303300858899123
4.7054347826086955,16.453260869565216,0.5288018343029781,0.5288018343029781
4.710869565217392,16.456521739130434,0.527291560158126,0.527291560158126
4.716304347826087,16.45978260869565,0.5257994183672983,0.5257994183672983
4.721739130434782,16.463043478260868,0.5243255637353487,0.5243255637353487
4.727173913043479,16.466304347826085,0.5228701509045972,0.5228701509045972
4.732608695652174,16.469565217391306,0.52143333429807,0.52143333429807
4.73804347826087,16.472826086956523,0.5200152680614423,0.5200152680614423
4.743478260869566,16.47608695652174,0.5186161060036871,0.5186161060036871
4.748913043478261,16.479347826086958,0.5172360015364792,0.5172360015364792
4.754347826086956,16.482608695652175,0.5158751076123609,0.5158751076123609
4.7597826086956525,16.485869565217392,0.5145335766617061,0.5145335766617061
4.765217391304349,16.48913043478261,0.5132115605285156,0.5132115605285156
4.770652173913044,16.492391304347827,0.5119092104050709,0.5119092104050709
4.776086956521739,16.495652173913044,0.510626676765497,0.510626676765497
4.781521739130436,16.49891304347826,0.5093641092982608,0.5093641092982608
4.786956521739131,16.502173913043478,0.5081216568376601,0.5081216568376601
4.792391304347827,16.505434782608695,0.5068994672943441,0.5068994672943441
4.797826086956523,16.508695652173913,0.5056976875849174,0.5056976875849174
4.803260869565218,16.51195652173913,0.5045164635606851,0.5045164635606851
4.808695652173913,16.515217391304347,0.5033559399355793,0.5033559399355793
4.8141304347826095,16.518478260869564,0.5022162602133502,0.5022162602133502
4.819565217391306,16.52173913043478,0.5010975666140678,0.5010975666140678
4.825000000000001,16.525,0.4999999999999993,0.4999999999999993
4.831944444444446,16.527083333333334,0.4983382880962643,0.4983382880962643
4.83888888888889,16.529166666666665,0.49668655192605815,0.49668655192605815
4.845833333333335,16.53125,0.49504489134263746,0.49504489134263746
4.852777777777779,16.53333333333333,0.49341340691498864,0.49341340691498864
4.859722222222223,16.535416666666666,0.49179219991906503,0.49179219991906503
4.866666666666668,16.537499999999998,0.49018137232842407,0.49018137232842407
4.873611111111112,16.539583333333333,0.4885810268042402,0.4885810268042402
4.880555555555556,16.541666666666664,0.4869912666846907,0.4869912666846907
4.887500000000001,16.54375,0.48541219597368906,0.48541219597368906
4.894444444444446,16.545833333333334,0.4838439193289564,0.4838439193289564
4.90138888888889,16.547916666666666,0.48228654204940696,0.48228654204940696
4.908333333333335,16.549999999999997,0.48074017006186576,0.48074017006186576
4.91527777777778,16.552083333333332,0.4792049099070372,0.4792049099070372
4.922222222222224,16.554166666666667,0.4776808687248,0.4776808687248
4.929166666666668,16.55625,0.47616815423872083,0.47616815423872083
4.936111111111112,16.55833333333333,0.4746668747398634,0.4746668747398634
4.943055555555557,16.560416666666665,0.4731771390697893,0.4731771390697893
4.950000000000001,16.5625,0.4716990566028292,0.4716990566028292
4.956944444444446,16.56458333333333,0.470232737227529,0.470232737227529
4.96388888888889,16.566666666666666,0.46877829132730986,0.46877829132730986
4.970833333333335,16.56875,0.4673358297603322,0.4673358297603322
4.97777777777778,16.570833333333333,0.46590546383849907,0.46590546383849907
4.984722222222224,16.572916666666664,0.4644873053056711,0.4644873053056711
4.991666666666669,16.575,0.4630814663149925,0.4630814663149925
4.998611111111113,16.577083333333334,0.46168805940540786,0.46168805940540786
5.005555555555557,16.579166666666666,0.4603071974772734,0.4603071974772734
5.012500000000002,16.581249999999997,0.4589389937671461,0.4589389937671461
5.019444444444446,16.583333333333336,0.45758356182164506,0.45758356182164506
5.02638888888889,16.585416666666667,0.456241015470476,0.456241015470476
5.033333333333335,16.5875,0.4549114687985397,0.4549114687985397
5.04027777777778,16.58958333333333,0.45359503611715596,0.45359503611715596
5.047222222222224,16.59166666666667,0.45229183193439193,0.45229183193439193
5.054166666666669,16.59375,0.451001970924494,0.451001970924494
5.061111111111113,16.59583333333333,0.4497255678964155,0.4497255678964155
5.068055555555558,16.597916666666663,0.448462737761449,0.448462737761449
5.075000000000002,16.6,0.44721359549995837,0.44721359549995837
5.081944444444446,16.602083333333333,0.44597825612721526,0.44597825612721526
5.088888888888891,16.604166666666664,0.44475683465834337,0.44475683465834337
5.095833333333335,16.606250000000003,0.44354944607237584,0.44354944607237584
5.10277777777778,16.608333333333334,0.4423562052754311,0.4423562052754311
5.109722222222224,16.610416666666666,0.44117722706301665,0.44117722706301665
5.116666666666669,16.612499999999997,0.4400126260814699,0.4400126260814699
5.123611111111114,16.614583333333336,0.43886251678854477,0.43886251678854477
5.130555555555558,16.616666666666667,0.4377270134131605,0.4377270134131605
5.137500000000002,16.61875,0.4366062299143248,0.4366062299143248
5.144444444444447,16.620833333333334,0.4355002799392468,0.4355002799392468
5.151388888888891,16.62291666666667,0.43440927678064917,0.43440927678064917
5.158333333333335,16.625,0.43333333333333524,0.43333333333333524
5.16527777777778,16.62708333333333,0.4322725620499582,0.4322725620499582
5.172222222222224,16.629166666666666,0.4312270748961137,0.4312270748961137
5.179166666666669,16.63125,0.4301969833046772,0.4301969833046772
5.186111111111114,16.633333333333333,0.4291823981295123,0.4291823981295123
5.193055555555558,16.635416666666664,0.42818342959847977,0.42818342959847977
5.200000000000003,16.6375,0.42720018726587855,0.42720018726587855
5.206944444444447,16.639583333333334,0.42623277996424797,0.42623277996424797
5.213888888888892,16.641666666666666,0.4252813157556589,0.4252813157556589
5.220833333333336,16.64375,0.4243459018824691,0.4243459018824691
5.22777777777778,16.645833333333336,0.4234266447175832,0.4234266447175832
5.234722222222224,16.647916666666667,0.4225236497143122,0.4225236497143122
5.241666666666669,16.65,0.42163702135578424,0.42163702135578424
5.248611111111114,16.652083333333334,0.4207668631040489,0.4207668631040489
5.255555555555558,16.65416666666667,0.41991327734882034,0.41991327734882034
5.262500000000003,16.65625,0.41907636535600723,0.41907636535600723
5.2694444444444475,16.658333333333335,0.4182562272159734,0.4182562272159734
5.276388888888892,16.660416666666666,0.41745296179167724,0.41745296179167724
5.283333333333336,16.6625,0.4166666666666686,0.4166666666666686
5.2902777777777805,16.664583333333333,0.415897438093032,0.415897438093032
