opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v,yaw,vx,vy,omega,acc,steer,dt
-1.7777973974293328,-3.465287877045921,0.621312295065855,0.39072960688947034,-2.01884,-3.61849,-2.5432,-3.95177,-1.68908,-3.4089,0.19941213308103367,2.1367432632160166,5.580170904278302,2.1367432632160166,0.019822343137617982,2.866065860585037,-1.1206086000145499,0.4348353009137571,0.02197850787716886
-1.7416882450613955,-3.4953176726428254,0.6368513274697634,0.4078183804097113,-1.99081,-3.66152,-2.52059,-4.01495,-1.65156,-3.43519,0.22250935555558465,2.1053125869215013,5.643162755371808,2.1053125869215013,-0.09163110337080793,3.00308225750104,-0.8603590632046567,0.43452393557804336,0.021300545123188394
-1.7068850584748874,-3.523664796939033,0.6564742956887191,0.4228907944138772,-1.96265,-3.70271,-2.50045,-4.07918,-1.61621,-3.46019,0.25168791215883185,2.072518221897635,5.707130044506569,2.072518221897635,-0.2004078685858733,3.1334129064918974,-0.5706846545893886,0.4340920915426681,0.020672241688165578
-1.6732123584068805,-3.550476857247892,0.678292146644792,0.4368920564624631,-1.93431,-3.74223,-2.481,-4.14374,-1.58218,-3.48362,0.2868785829850791,2.038604909228693,5.771904713418649,2.038604909228693,-0.3061416284462672,3.257479391042934,-0.25401873483662113,0.4332833236956069,0.020089103140257435
-1.640505050051381,-3.5758789243517426,0.7008151876208164,0.44992400702785357,-1.90572,-3.78023,-2.46086,-4.20797,-1.54932,-3.50562,0.32868631129960557,2.0038406755550495,5.837344552882867,2.0038406755550495,-0.40853808503913763,3.3756148078253645,0.03775399988943608,0.4029225001189831,0.019550970423582514
-1.6086018994324693,-3.5999792533986175,0.6776780965178087,0.4620836457828819,-1.87683,-3.81683,-2.40383,-4.24288,-1.51749,-3.52632,0.37216719089399575,1.9684796596144618,5.903341098152376,1.9684796596144618,-0.5078211490014295,3.4825485843263224,0.32126113417899127,0.3573294432031473,0.019048149539235382
-1.5773651554340713,-3.6228654046299953,0.6538051398543762,0.47183834233771194,-1.84758,-3.85214,-2.34611,-4.27514,-1.4878,-3.54687,0.42376918794076823,1.932774690431958,5.969677204364559,1.932774690431958,-0.6038142525968168,3.5758156318996366,0.5763151793219509,0.3126221760928567,0.01818358734841543
-1.5473194758002606,-3.64414831177933,0.6335955356534639,0.48064652302913835,-1.81792,-3.88626,-2.2901,-4.30874,-1.45972,-3.56577,0.41185333557319004,1.8969927809878901,6.034698360249274,1.8969927809878901,-0.6941298314179745,3.65431100894096,1.32023029747606,0.27118859092950437,0.022745741858890105
-1.5093792324261475,-3.6700637194003867,0.6148092037372246,0.4898893999669719,-1.78242,-3.92497,-2.23181,-4.34454,-1.42433,-3.59066,0.7322303397961986,1.8614998068784583,6.117818375130996,1.8614998068784583,-0.8047159214095629,3.739855553811649,0.40171544487145266,0.21211507597700405,0.012179242302165211
-1.4886302180306537,-3.683462925120335,0.6060044419804199,0.4915570104270714,-1.76015,-3.94814,-2.19409,-4.37115,-1.40816,-3.60502,0.5738000116935941,1.8263747607965866,6.163366982096061,1.8263747607965866,-0.8625685339103318,3.775736751449538,-0.3226404490483843,0.18384163621706878,0.009085025633357257
-1.4730932259159186,-3.6932265491583394,0.6006139343205414,0.49352179972114707,-1.74309,-3.96532,-2.16614,-4.39166,-1.39547,-3.615,0.42317939962018797,1.7916290485354593,6.1976696472678405,1.7916290485354593,-0.9042623635012269,3.798755905690402,0.23498021362282076,0.1679337689490068,0.00997965370123378
-1.4560494979429295,-3.7037449409457177,0.5905892096034264,0.4964350869952684,-1.72498,-3.98303,-2.13462,-4.40846,-1.38064,-3.62543,0.5164112171760552,1.757400807688123,6.2355799157021865,1.757400807688123,-0.9482979628490423,3.8216323736788267,0.5641882127384444,0.1465405719132948,0.010329309843729234
-1.4383834573715146,-3.7143929489556085,0.5762441045251572,0.5003893189307702,-1.70587,-4.00115,-2.09893,-4.42253,-1.36455,-3.63524,0.5843181289352588,1.723676460666415,6.275054740598763,1.723676460666415,-0.9920483983729387,3.841960124667621,0.7918580741352707,0.11931124242293666,0.01038195342773601
-1.420572659155259,-3.7248375047335367,0.5629357039662701,0.5053147694259492,-1.68617,-4.01923,-2.06325,-4.43721,-1.34768,-3.64404,0.634388323806223,1.6905632101957673,6.314941791684275,1.6905632101957673,-1.0341917124413427,3.858043739398715,0.9936488941250741,0.07200913909088404,0.01045046468949329
-1.402571236178035,-3.7350788865276274,0.5508880355389831,0.5112111783793464,-1.66593,-4.03719,-2.02792,-4.45245,-1.33001,-3.65184,0.6964481736421273,1.6581800020715558,6.355260141553343,1.6581800020715558,-1.0749777849305922,3.8663772124006477,0.7581167522614507,-0.27211908265911233,0.01009334216887263
-1.385096767053343,-3.7446955933640633,0.5404755759514024,0.5178986121819599,-1.64561,-4.05459,-1.9934,-4.4683,-1.31235,-3.65816,0.6037960857567481,1.6266189836350617,6.394284809711916,1.6266189836350617,-1.117225971059355,3.8089865940440255,1.0327431736149073,-0.4034815572173373,0.010633583252096283
-1.366589455547802,-3.7545847515926702,0.5308001425207042,0.5257728492419516,-1.62398,-4.07245,-1.95801,-4.48497,-1.29311,-3.66384,0.6574855952583764,1.5960363144805738,6.434787985764522,1.5960363144805738,-1.1606339743104284,3.719487105926193,1.0844211648096171,-0.417165247213759,0.010321735917027714
-1.348495326004665,-3.7639391784895775,0.5205501991162809,0.5346638467298871,-1.60157,-4.09025,-1.9206,-4.50158,-1.2739,-3.66776,0.6073110347007008,1.5665081425591845,6.473179549417431,1.5665081425591845,-1.1993426507964606,3.629294397269009,1.7232484368756884,-0.42553159556259984,0.01257455880127308
